feature,condition,subject,accuracy
Acoustic Edge,Sentences,sub-002,0.0011241991292021039
Acoustic Edge,Sentences,sub-003,3.079927946058711e-05
Acoustic Edge,Sentences,sub-004,0.004011475571989098
Acoustic Edge,Sentences,sub-005,0.0007364875317958943
Acoustic Edge,Sentences,sub-006,0.00038933247523218926
Acoustic Edge,Sentences,sub-007,0.0011880855939975688
Acoustic Edge,Sentences,sub-008,0.0025695415418295854
Acoustic Edge,Sentences,sub-009,0.000696230074768997
Acoustic Edge,Sentences,sub-010,0.002422015034400752
Acoustic Edge,Sentences,sub-011,0.0038915085297748587
Acoustic Edge,Sentences,sub-012,0.0027065914391882235
Acoustic Edge,Sentences,sub-013,0.00040036821011377627
Acoustic Edge,Sentences,sub-014,0.001723064357139457
Acoustic Edge,Sentences,sub-016,0.0020293784616815616
Acoustic Edge,Sentences,sub-017,0.0004413226560206491
Acoustic Edge,Sentences,sub-018,0.002564277785592041
Acoustic Edge,Sentences,sub-019,0.0006571961326197546
Acoustic Edge,Sentences,sub-020,0.0007463618204410614
Acoustic Edge,Sentences,sub-021,0.0022636940667513914
Acoustic Edge,Word_list,sub-002,0.0010247506899736536
Acoustic Edge,Word_list,sub-003,0.00027510500037428057
Acoustic Edge,Word_list,sub-004,0.004149133113223126
Acoustic Edge,Word_list,sub-005,0.0009084970239947489
Acoustic Edge,Word_list,sub-006,0.000198787484508765
Acoustic Edge,Word_list,sub-007,0.0011957989615527021
Acoustic Edge,Word_list,sub-008,0.0027867182461637804
Acoustic Edge,Word_list,sub-009,0.002212154506146797
Acoustic Edge,Word_list,sub-010,0.002087358944982874
Acoustic Edge,Word_list,sub-011,0.003765500570486629
Acoustic Edge,Word_list,sub-012,0.0021815965354325
Acoustic Edge,Word_list,sub-013,0.0008532898070625508
Acoustic Edge,Word_list,sub-014,0.0014558145203737815
Acoustic Edge,Word_list,sub-016,0.001947925633810388
Acoustic Edge,Word_list,sub-017,0.0010754971690736274
Acoustic Edge,Word_list,sub-018,0.0029276947433757665
Acoustic Edge,Word_list,sub-019,0.0005965797663028437
Acoustic Edge,Word_list,sub-020,0.0010788546807339865
Acoustic Edge,Word_list,sub-021,0.0023749535762392976
Phoneme Onset,Sentences,sub-002,0.00028482102573963995
Phoneme Onset,Sentences,sub-003,0.0005784936854524144
Phoneme Onset,Sentences,sub-004,0.0006056724886467305
Phoneme Onset,Sentences,sub-005,0.00037783674133802677
Phoneme Onset,Sentences,sub-006,8.362215623773298e-05
Phoneme Onset,Sentences,sub-007,0.0005356909746943594
Phoneme Onset,Sentences,sub-008,0.0004825495647164895
Phoneme Onset,Sentences,sub-009,0.0003669121328474691
Phoneme Onset,Sentences,sub-010,0.00028173248282274314
Phoneme Onset,Sentences,sub-011,0.0005171529726174963
Phoneme Onset,Sentences,sub-012,0.0009063907969472644
Phoneme Onset,Sentences,sub-013,0.00015427306229623774
Phoneme Onset,Sentences,sub-014,0.0003429456929791481
Phoneme Onset,Sentences,sub-016,0.00027996037900615263
Phoneme Onset,Sentences,sub-017,8.024976795467945e-05
Phoneme Onset,Sentences,sub-018,0.00029741964935216687
Phoneme Onset,Sentences,sub-019,5.549857863238004e-05
Phoneme Onset,Sentences,sub-020,0.00014539186385039625
Phoneme Onset,Sentences,sub-021,0.00017761689354468916
Phoneme Onset,Word_list,sub-002,0.0001984516462301225
Phoneme Onset,Word_list,sub-003,6.114235122906121e-05
Phoneme Onset,Word_list,sub-004,0.00021576992627886788
Phoneme Onset,Word_list,sub-005,0.0001743418014985488
Phoneme Onset,Word_list,sub-006,4.855810410389743e-05
Phoneme Onset,Word_list,sub-007,1.6900871202938242e-05
Phoneme Onset,Word_list,sub-008,0.00012961174799214212
Phoneme Onset,Word_list,sub-009,0.00016331435256132935
Phoneme Onset,Word_list,sub-010,0.0001736825024656473
Phoneme Onset,Word_list,sub-011,0.0002510441448961525
Phoneme Onset,Word_list,sub-012,0.00020172750937368897
Phoneme Onset,Word_list,sub-013,7.744367352374655e-05
Phoneme Onset,Word_list,sub-014,4.8340478435433443e-05
Phoneme Onset,Word_list,sub-016,8.97235553326217e-05
Phoneme Onset,Word_list,sub-017,-2.719464993399796e-05
Phoneme Onset,Word_list,sub-018,0.00026585268999792134
Phoneme Onset,Word_list,sub-019,0.0001252213471449816
Phoneme Onset,Word_list,sub-020,1.4981708113596796e-05
Phoneme Onset,Word_list,sub-021,0.00015751274494284375
