,feature,condition,subject,accuracy
0,Phoneme Surp./Ent.,Sentences,sub-002,0.004691912956412069
1,Phoneme Surp./Ent.,Sentences,sub-003,0.0051387264618269176
2,Phoneme Surp./Ent.,Sentences,sub-004,0.012284725883669708
3,Phoneme Surp./Ent.,Sentences,sub-005,0.0037007203438158554
4,Phoneme Surp./Ent.,Sentences,sub-006,0.0009995734754901738
5,Phoneme Surp./Ent.,Sentences,sub-007,0.003311978349556312
6,Phoneme Surp./Ent.,Sentences,sub-008,0.0085190320214674
7,Phoneme Surp./Ent.,Sentences,sub-009,0.005560195738443024
8,Phoneme Surp./Ent.,Sentences,sub-010,0.010577379500312775
9,Phoneme Surp./Ent.,Sentences,sub-011,0.009720726039052269
10,Phoneme Surp./Ent.,Sentences,sub-012,0.007896205273304308
11,Phoneme Surp./Ent.,Sentences,sub-013,0.0023227185336502287
12,Phoneme Surp./Ent.,Sentences,sub-014,0.004541229311481437
13,Phoneme Surp./Ent.,Sentences,sub-016,0.005224303659600536
14,Phoneme Surp./Ent.,Sentences,sub-017,0.0011770560340259807
15,Phoneme Surp./Ent.,Sentences,sub-018,0.008720594813536145
16,Phoneme Surp./Ent.,Sentences,sub-019,0.0022705313517842555
17,Phoneme Surp./Ent.,Sentences,sub-020,0.0008738521482049837
18,Phoneme Surp./Ent.,Sentences,sub-021,0.005177446338947718
19,Phoneme Surp./Ent.,Word_list,sub-002,0.0035165902017283003
20,Phoneme Surp./Ent.,Word_list,sub-003,0.003607367456918876
21,Phoneme Surp./Ent.,Word_list,sub-004,0.011912283288541131
22,Phoneme Surp./Ent.,Word_list,sub-005,0.003425364510649089
23,Phoneme Surp./Ent.,Word_list,sub-006,0.00123064527595116
24,Phoneme Surp./Ent.,Word_list,sub-007,0.0027711340068305185
25,Phoneme Surp./Ent.,Word_list,sub-008,0.004531241111443098
26,Phoneme Surp./Ent.,Word_list,sub-009,0.005979442713206967
27,Phoneme Surp./Ent.,Word_list,sub-010,0.010449515218716069
28,Phoneme Surp./Ent.,Word_list,sub-011,0.0077600560945910516
29,Phoneme Surp./Ent.,Word_list,sub-012,0.004644207244955901
30,Phoneme Surp./Ent.,Word_list,sub-013,0.0018680499475249065
31,Phoneme Surp./Ent.,Word_list,sub-014,0.002634077402873883
32,Phoneme Surp./Ent.,Word_list,sub-016,0.004906653785038181
33,Phoneme Surp./Ent.,Word_list,sub-017,0.0015335452225033494
34,Phoneme Surp./Ent.,Word_list,sub-018,0.008624324025693032
35,Phoneme Surp./Ent.,Word_list,sub-019,0.0025564147677604107
36,Phoneme Surp./Ent.,Word_list,sub-020,0.0016321279239980085
37,Phoneme Surp./Ent.,Word_list,sub-021,0.006115829385709018
38,Phoneme Surp./Ent. Shuffeled,Sentences,sub-002,0.004723711564191751
39,Phoneme Surp./Ent. Shuffeled,Sentences,sub-003,0.005100652176110858
40,Phoneme Surp./Ent. Shuffeled,Sentences,sub-004,0.012311620456593177
41,Phoneme Surp./Ent. Shuffeled,Sentences,sub-005,0.0037032761728107893
42,Phoneme Surp./Ent. Shuffeled,Sentences,sub-006,0.0010583500498517685
43,Phoneme Surp./Ent. Shuffeled,Sentences,sub-007,0.0033329413787373894
