Stimuli,Condition,Feature,subject,accuracy
Dutch_stimuli,Words,Acoustic Edge,sub-021,0.0009478427261246937
Dutch_stimuli,Words,Acoustic Edge,sub-022,0.0005024434534268941
Dutch_stimuli,Words,Acoustic Edge,sub-023,0.004181479523981607
Dutch_stimuli,Words,Acoustic Edge,sub-024,0.002290803350926637
Dutch_stimuli,Words,Acoustic Edge,sub-025,0.0020717668340211604
Dutch_stimuli,Words,Acoustic Edge,sub-026,0.005383205729689579
Dutch_stimuli,Words,Acoustic Edge,sub-028,0.00147401937699546
Dutch_stimuli,Words,Acoustic Edge,sub-029,0.0014692962012039271
Dutch_stimuli,Words,Acoustic Edge,sub-032,0.0009406614105759018
Dutch_stimuli,Words,Acoustic Edge,sub-033,0.0004172719444670819
Dutch_stimuli,Words,Acoustic Edge,sub-034,0.001139419987739317
Dutch_stimuli,Words,Acoustic Edge,sub-027,0.001390073942784475
Dutch_stimuli,Words,Acoustic Edge,sub-030,0.0016728869289691756
Dutch_stimuli,Words,Acoustic Edge,sub-035,0.0005108573082125726
Chinese_stimuli,Words,Acoustic Edge,sub-021,0.00295672326725068
Chinese_stimuli,Words,Acoustic Edge,sub-022,0.00022794834488250093
Chinese_stimuli,Words,Acoustic Edge,sub-023,0.0010442901438297352
Chinese_stimuli,Words,Acoustic Edge,sub-024,0.003195122275533434
Chinese_stimuli,Words,Acoustic Edge,sub-025,0.0016053319902435087
Chinese_stimuli,Words,Acoustic Edge,sub-026,0.00681370555431221
Chinese_stimuli,Words,Acoustic Edge,sub-028,0.002021086614262436
Chinese_stimuli,Words,Acoustic Edge,sub-029,0.002310496545916198
Chinese_stimuli,Words,Acoustic Edge,sub-032,0.0015938340260799814
Chinese_stimuli,Words,Acoustic Edge,sub-033,0.0011768208648639306
Chinese_stimuli,Words,Acoustic Edge,sub-034,0.0004425854071988839
Chinese_stimuli,Words,Acoustic Edge,sub-027,0.001435873741067018
Chinese_stimuli,Words,Acoustic Edge,sub-030,0.0016955082701804423
Chinese_stimuli,Words,Acoustic Edge,sub-035,0.001476685382433259
Dutch_stimuli,Syllables,Acoustic Edge,sub-021,0.00130145183339401
Dutch_stimuli,Syllables,Acoustic Edge,sub-022,0.00036500743600410395
Dutch_stimuli,Syllables,Acoustic Edge,sub-023,0.004286244910451933
Dutch_stimuli,Syllables,Acoustic Edge,sub-024,0.0022806624350161747
Dutch_stimuli,Syllables,Acoustic Edge,sub-025,0.0013888211238446738
Dutch_stimuli,Syllables,Acoustic Edge,sub-026,0.005482341608509258
Dutch_stimuli,Syllables,Acoustic Edge,sub-028,0.0011304299276302244
Dutch_stimuli,Syllables,Acoustic Edge,sub-029,0.0015711396762104783
Dutch_stimuli,Syllables,Acoustic Edge,sub-032,0.0010445726755954094
Dutch_stimuli,Syllables,Acoustic Edge,sub-033,0.00047569701537526434
Dutch_stimuli,Syllables,Acoustic Edge,sub-034,0.002032699147537708
Dutch_stimuli,Syllables,Acoustic Edge,sub-027,8.389175131104411e-05
Dutch_stimuli,Syllables,Acoustic Edge,sub-030,0.0011664705404681353
Dutch_stimuli,Syllables,Acoustic Edge,sub-035,0.0009010846199190626
Chinese_stimuli,Syllables,Acoustic Edge,sub-021,0.00155613927470431
Chinese_stimuli,Syllables,Acoustic Edge,sub-022,0.0006280785073817761
Chinese_stimuli,Syllables,Acoustic Edge,sub-023,0.003562328637007549
Chinese_stimuli,Syllables,Acoustic Edge,sub-024,0.003619762211898048
Chinese_stimuli,Syllables,Acoustic Edge,sub-025,0.001929414092640283
Chinese_stimuli,Syllables,Acoustic Edge,sub-026,0.006397349256284736
Chinese_stimuli,Syllables,Acoustic Edge,sub-028,0.0015717321176290347
Chinese_stimuli,Syllables,Acoustic Edge,sub-029,0.0016549763407290158
Chinese_stimuli,Syllables,Acoustic Edge,sub-032,0.0024207028960332704
Chinese_stimuli,Syllables,Acoustic Edge,sub-033,0.000689620568921017
Chinese_stimuli,Syllables,Acoustic Edge,sub-034,0.0010109229637728034
Chinese_stimuli,Syllables,Acoustic Edge,sub-027,0.001321190576883498
Chinese_stimuli,Syllables,Acoustic Edge,sub-030,0.002057932711905663
Chinese_stimuli,Syllables,Acoustic Edge,sub-035,0.0024707551058137747
Dutch_stimuli,Words,Phoneme Onset,sub-021,0.001753167435528286
Dutch_stimuli,Words,Phoneme Onset,sub-022,0.0010922908888657192
Dutch_stimuli,Words,Phoneme Onset,sub-023,0.002668040605574931
Dutch_stimuli,Words,Phoneme Onset,sub-024,0.0027866869015272214
Dutch_stimuli,Words,Phoneme Onset,sub-025,0.0032053388219797493
Dutch_stimuli,Words,Phoneme Onset,sub-026,0.004584519756376913
Dutch_stimuli,Words,Phoneme Onset,sub-028,0.0032260737819022525
Dutch_stimuli,Words,Phoneme Onset,sub-029,0.004109755759853153
Dutch_stimuli,Words,Phoneme Onset,sub-032,0.0007245129338085232
Dutch_stimuli,Words,Phoneme Onset,sub-033,0.0005441870883866151
Dutch_stimuli,Words,Phoneme Onset,sub-034,0.0026872116101804328
Dutch_stimuli,Words,Phoneme Onset,sub-027,0.002482419423985926
Dutch_stimuli,Words,Phoneme Onset,sub-030,0.002565993717451017
Dutch_stimuli,Words,Phoneme Onset,sub-035,0.0011694297865595439
Chinese_stimuli,Words,Phoneme Onset,sub-021,0.0016087349270189214
Chinese_stimuli,Words,Phoneme Onset,sub-022,0.0002550005040855843
Chinese_stimuli,Words,Phoneme Onset,sub-023,0.003792418883583736
Chinese_stimuli,Words,Phoneme Onset,sub-024,0.0022553198117562087
Chinese_stimuli,Words,Phoneme Onset,sub-025,0.0015200450553007352
Chinese_stimuli,Words,Phoneme Onset,sub-026,0.001363727222228554
Chinese_stimuli,Words,Phoneme Onset,sub-028,0.004046827550611675
Chinese_stimuli,Words,Phoneme Onset,sub-029,0.005170858564036084
Chinese_stimuli,Words,Phoneme Onset,sub-032,0.005710367613638976
Chinese_stimuli,Words,Phoneme Onset,sub-033,0.00065357242552737
Chinese_stimuli,Words,Phoneme Onset,sub-034,0.0016570026104504496
Chinese_stimuli,Words,Phoneme Onset,sub-027,0.00046371965761589145
Chinese_stimuli,Words,Phoneme Onset,sub-030,0.0020468620929198185
Chinese_stimuli,Words,Phoneme Onset,sub-035,0.0018533290949193262
Dutch_stimuli,Syllables,Phoneme Onset,sub-021,0.00014870981551058264
Dutch_stimuli,Syllables,Phoneme Onset,sub-022,1.6809342872156365e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-023,0.0006179783568083635
Dutch_stimuli,Syllables,Phoneme Onset,sub-024,0.0001518999254256827
Dutch_stimuli,Syllables,Phoneme Onset,sub-025,0.0003360863952096021
Dutch_stimuli,Syllables,Phoneme Onset,sub-026,0.00016352860991131378
Dutch_stimuli,Syllables,Phoneme Onset,sub-028,0.0002612919551594232
Dutch_stimuli,Syllables,Phoneme Onset,sub-029,0.0005325828103648999
Dutch_stimuli,Syllables,Phoneme Onset,sub-032,0.00018794977261062606
Dutch_stimuli,Syllables,Phoneme Onset,sub-033,-1.2499179679325692e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-034,8.795115916758287e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-027,-8.409090932812689e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-030,0.00037284563187698163
Dutch_stimuli,Syllables,Phoneme Onset,sub-035,0.00021517643707658968
Chinese_stimuli,Syllables,Phoneme Onset,sub-021,0.0004250792828966932
Chinese_stimuli,Syllables,Phoneme Onset,sub-022,2.072687717794872e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-023,0.0009990755892226558
Chinese_stimuli,Syllables,Phoneme Onset,sub-024,0.000213870362505097
Chinese_stimuli,Syllables,Phoneme Onset,sub-025,0.00019158681805032067
Chinese_stimuli,Syllables,Phoneme Onset,sub-026,0.00021118684861951364
Chinese_stimuli,Syllables,Phoneme Onset,sub-028,0.00021939250314242172
Chinese_stimuli,Syllables,Phoneme Onset,sub-029,0.0005397802636522548
Chinese_stimuli,Syllables,Phoneme Onset,sub-032,0.0002733243435325634
Chinese_stimuli,Syllables,Phoneme Onset,sub-033,-6.362409961699907e-06
Chinese_stimuli,Syllables,Phoneme Onset,sub-034,0.00023036229636141662
Chinese_stimuli,Syllables,Phoneme Onset,sub-027,0.00035040445295770044
Chinese_stimuli,Syllables,Phoneme Onset,sub-030,0.0003061637143754036
Chinese_stimuli,Syllables,Phoneme Onset,sub-035,0.00012873483249850682
