Condition,Stimuli_or_Condition,Time,Feature,subject,peak_latency
Words,Chinese,Early_time,Acoustic Edge,0,7
Words,Chinese,Early_time,Acoustic Edge,1,4
Words,Chinese,Early_time,Acoustic Edge,2,8
Words,Chinese,Early_time,Acoustic Edge,3,8
Words,Chinese,Early_time,Acoustic Edge,4,9
Words,Chinese,Early_time,Acoustic Edge,5,7
Words,Chinese,Early_time,Acoustic Edge,6,7
Words,Chinese,Early_time,Acoustic Edge,7,8
Words,Chinese,Early_time,Acoustic Edge,8,8
Words,Chinese,Early_time,Acoustic Edge,9,9
Words,Chinese,Early_time,Acoustic Edge,10,-3
Words,Chinese,Early_time,Acoustic Edge,11,7
Words,Chinese,Early_time,Acoustic Edge,12,9
Words,Chinese,Early_time,Acoustic Edge,13,7
Syllables,Chinese,Early_time,Acoustic Edge,0,8
Syllables,Chinese,Early_time,Acoustic Edge,1,7
Syllables,Chinese,Early_time,Acoustic Edge,2,8
Syllables,Chinese,Early_time,Acoustic Edge,3,8
Syllables,Chinese,Early_time,Acoustic Edge,4,9
Syllables,Chinese,Early_time,Acoustic Edge,5,7
Syllables,Chinese,Early_time,Acoustic Edge,6,8
Syllables,Chinese,Early_time,Acoustic Edge,7,9
Syllables,Chinese,Early_time,Acoustic Edge,8,9
Syllables,Chinese,Early_time,Acoustic Edge,9,9
Syllables,Chinese,Early_time,Acoustic Edge,10,9
Syllables,Chinese,Early_time,Acoustic Edge,11,8
Syllables,Chinese,Early_time,Acoustic Edge,12,9
Syllables,Chinese,Early_time,Acoustic Edge,13,7
Words,Chinese,Mid_time,Acoustic Edge,0,20
Words,Chinese,Mid_time,Acoustic Edge,1,19
Words,Chinese,Mid_time,Acoustic Edge,2,19
Words,Chinese,Mid_time,Acoustic Edge,3,21
Words,Chinese,Mid_time,Acoustic Edge,4,21
Words,Chinese,Mid_time,Acoustic Edge,5,20
Words,Chinese,Mid_time,Acoustic Edge,6,21
Words,Chinese,Mid_time,Acoustic Edge,7,15
Words,Chinese,Mid_time,Acoustic Edge,8,15
Words,Chinese,Mid_time,Acoustic Edge,9,22
Words,Chinese,Mid_time,Acoustic Edge,10,15
Words,Chinese,Mid_time,Acoustic Edge,11,22
Words,Chinese,Mid_time,Acoustic Edge,12,15
Words,Chinese,Mid_time,Acoustic Edge,13,21
Syllables,Chinese,Mid_time,Acoustic Edge,0,15
Syllables,Chinese,Mid_time,Acoustic Edge,1,28
Syllables,Chinese,Mid_time,Acoustic Edge,2,15
Syllables,Chinese,Mid_time,Acoustic Edge,3,20
Syllables,Chinese,Mid_time,Acoustic Edge,4,15
Syllables,Chinese,Mid_time,Acoustic Edge,5,20
Syllables,Chinese,Mid_time,Acoustic Edge,6,20
Syllables,Chinese,Mid_time,Acoustic Edge,7,15
Syllables,Chinese,Mid_time,Acoustic Edge,8,15
Syllables,Chinese,Mid_time,Acoustic Edge,9,15
Syllables,Chinese,Mid_time,Acoustic Edge,10,15
Syllables,Chinese,Mid_time,Acoustic Edge,11,18
Syllables,Chinese,Mid_time,Acoustic Edge,12,15
Syllables,Chinese,Mid_time,Acoustic Edge,13,21
Words,Chinese,Late_time,Acoustic Edge,0,59
Words,Chinese,Late_time,Acoustic Edge,1,41
Words,Chinese,Late_time,Acoustic Edge,2,43
Words,Chinese,Late_time,Acoustic Edge,3,45
Words,Chinese,Late_time,Acoustic Edge,4,55
Words,Chinese,Late_time,Acoustic Edge,5,41
Words,Chinese,Late_time,Acoustic Edge,6,40
Words,Chinese,Late_time,Acoustic Edge,7,43
Words,Chinese,Late_time,Acoustic Edge,8,35
Words,Chinese,Late_time,Acoustic Edge,9,42
Words,Chinese,Late_time,Acoustic Edge,10,66
Words,Chinese,Late_time,Acoustic Edge,11,41
Words,Chinese,Late_time,Acoustic Edge,12,48
Words,Chinese,Late_time,Acoustic Edge,13,36
Syllables,Chinese,Late_time,Acoustic Edge,0,35
Syllables,Chinese,Late_time,Acoustic Edge,1,42
Syllables,Chinese,Late_time,Acoustic Edge,2,45
Syllables,Chinese,Late_time,Acoustic Edge,3,46
Syllables,Chinese,Late_time,Acoustic Edge,4,35
Syllables,Chinese,Late_time,Acoustic Edge,5,41
Syllables,Chinese,Late_time,Acoustic Edge,6,38
Syllables,Chinese,Late_time,Acoustic Edge,7,60
Syllables,Chinese,Late_time,Acoustic Edge,8,46
Syllables,Chinese,Late_time,Acoustic Edge,9,44
Syllables,Chinese,Late_time,Acoustic Edge,10,35
Syllables,Chinese,Late_time,Acoustic Edge,11,41
Syllables,Chinese,Late_time,Acoustic Edge,12,55
Syllables,Chinese,Late_time,Acoustic Edge,13,46
Words,Chinese,Early_time,Phoneme Onset,0,9
Words,Chinese,Early_time,Phoneme Onset,1,9
Words,Chinese,Early_time,Phoneme Onset,2,9
Words,Chinese,Early_time,Phoneme Onset,3,5
Words,Chinese,Early_time,Phoneme Onset,4,9
Words,Chinese,Early_time,Phoneme Onset,5,-2
Words,Chinese,Early_time,Phoneme Onset,6,-3
Words,Chinese,Early_time,Phoneme Onset,7,9
Words,Chinese,Early_time,Phoneme Onset,8,-2
Words,Chinese,Early_time,Phoneme Onset,9,-2
Words,Chinese,Early_time,Phoneme Onset,10,9
Words,Chinese,Early_time,Phoneme Onset,11,9
Words,Chinese,Early_time,Phoneme Onset,12,9
Words,Chinese,Early_time,Phoneme Onset,13,9
Syllables,Chinese,Early_time,Phoneme Onset,0,9
Syllables,Chinese,Early_time,Phoneme Onset,1,9
Syllables,Chinese,Early_time,Phoneme Onset,2,9
Syllables,Chinese,Early_time,Phoneme Onset,3,6
Syllables,Chinese,Early_time,Phoneme Onset,4,-2
Syllables,Chinese,Early_time,Phoneme Onset,5,9
Syllables,Chinese,Early_time,Phoneme Onset,6,-2
Syllables,Chinese,Early_time,Phoneme Onset,7,9
Syllables,Chinese,Early_time,Phoneme Onset,8,-2
Syllables,Chinese,Early_time,Phoneme Onset,9,-3
Syllables,Chinese,Early_time,Phoneme Onset,10,9
Syllables,Chinese,Early_time,Phoneme Onset,11,9
Syllables,Chinese,Early_time,Phoneme Onset,12,0
Syllables,Chinese,Early_time,Phoneme Onset,13,7
Words,Chinese,Mid_time,Phoneme Onset,0,22
Words,Chinese,Mid_time,Phoneme Onset,1,33
Words,Chinese,Mid_time,Phoneme Onset,2,15
Words,Chinese,Mid_time,Phoneme Onset,3,22
Words,Chinese,Mid_time,Phoneme Onset,4,22
Words,Chinese,Mid_time,Phoneme Onset,5,22
Words,Chinese,Mid_time,Phoneme Onset,6,21
Words,Chinese,Mid_time,Phoneme Onset,7,22
Words,Chinese,Mid_time,Phoneme Onset,8,22
Words,Chinese,Mid_time,Phoneme Onset,9,20
Words,Chinese,Mid_time,Phoneme Onset,10,24
Words,Chinese,Mid_time,Phoneme Onset,11,15
Words,Chinese,Mid_time,Phoneme Onset,12,18
Words,Chinese,Mid_time,Phoneme Onset,13,24
Syllables,Chinese,Mid_time,Phoneme Onset,0,15
Syllables,Chinese,Mid_time,Phoneme Onset,1,33
Syllables,Chinese,Mid_time,Phoneme Onset,2,16
Syllables,Chinese,Mid_time,Phoneme Onset,3,20
Syllables,Chinese,Mid_time,Phoneme Onset,4,22
Syllables,Chinese,Mid_time,Phoneme Onset,5,21
Syllables,Chinese,Mid_time,Phoneme Onset,6,20
Syllables,Chinese,Mid_time,Phoneme Onset,7,32
Syllables,Chinese,Mid_time,Phoneme Onset,8,16
Syllables,Chinese,Mid_time,Phoneme Onset,9,21
Syllables,Chinese,Mid_time,Phoneme Onset,10,15
Syllables,Chinese,Mid_time,Phoneme Onset,11,21
Syllables,Chinese,Mid_time,Phoneme Onset,12,35
Syllables,Chinese,Mid_time,Phoneme Onset,13,22
Words,Chinese,Late_time,Phoneme Onset,0,35
Words,Chinese,Late_time,Phoneme Onset,1,41
Words,Chinese,Late_time,Phoneme Onset,2,45
Words,Chinese,Late_time,Phoneme Onset,3,46
Words,Chinese,Late_time,Phoneme Onset,4,41
Words,Chinese,Late_time,Phoneme Onset,5,61
Words,Chinese,Late_time,Phoneme Onset,6,42
Words,Chinese,Late_time,Phoneme Onset,7,44
Words,Chinese,Late_time,Phoneme Onset,8,45
Words,Chinese,Late_time,Phoneme Onset,9,45
Words,Chinese,Late_time,Phoneme Onset,10,40
Words,Chinese,Late_time,Phoneme Onset,11,37
