Condition,Stimuli_or_Condition,Time,Feature,subject,peak_latency
Words,Dutch,Early_time,Acoustic Edge,0,9
Words,Dutch,Early_time,Acoustic Edge,1,-3
Words,Dutch,Early_time,Acoustic Edge,2,9
Words,Dutch,Early_time,Acoustic Edge,3,9
Words,Dutch,Early_time,Acoustic Edge,4,9
Words,Dutch,Early_time,Acoustic Edge,5,9
Words,Dutch,Early_time,Acoustic Edge,6,9
Words,Dutch,Early_time,Acoustic Edge,7,9
Words,Dutch,Early_time,Acoustic Edge,8,9
Words,Dutch,Early_time,Acoustic Edge,9,9
Words,Dutch,Early_time,Acoustic Edge,10,9
Words,Dutch,Early_time,Acoustic Edge,11,9
Words,Dutch,Early_time,Acoustic Edge,12,9
Words,Dutch,Early_time,Acoustic Edge,13,9
Syllables,Dutch,Early_time,Acoustic Edge,0,9
Syllables,Dutch,Early_time,Acoustic Edge,1,9
Syllables,Dutch,Early_time,Acoustic Edge,2,9
Syllables,Dutch,Early_time,Acoustic Edge,3,8
Syllables,Dutch,Early_time,Acoustic Edge,4,9
Syllables,Dutch,Early_time,Acoustic Edge,5,9
Syllables,Dutch,Early_time,Acoustic Edge,6,-3
Syllables,Dutch,Early_time,Acoustic Edge,7,9
Syllables,Dutch,Early_time,Acoustic Edge,8,9
Syllables,Dutch,Early_time,Acoustic Edge,9,9
Syllables,Dutch,Early_time,Acoustic Edge,10,5
Syllables,Dutch,Early_time,Acoustic Edge,11,9
Syllables,Dutch,Early_time,Acoustic Edge,12,9
Syllables,Dutch,Early_time,Acoustic Edge,13,9
Words,Dutch,Mid_time,Acoustic Edge,0,24
Words,Dutch,Mid_time,Acoustic Edge,1,28
Words,Dutch,Mid_time,Acoustic Edge,2,15
Words,Dutch,Mid_time,Acoustic Edge,3,21
Words,Dutch,Mid_time,Acoustic Edge,4,15
Words,Dutch,Mid_time,Acoustic Edge,5,21
Words,Dutch,Mid_time,Acoustic Edge,6,20
Words,Dutch,Mid_time,Acoustic Edge,7,17
Words,Dutch,Mid_time,Acoustic Edge,8,15
Words,Dutch,Mid_time,Acoustic Edge,9,15
Words,Dutch,Mid_time,Acoustic Edge,10,16
Words,Dutch,Mid_time,Acoustic Edge,11,21
Words,Dutch,Mid_time,Acoustic Edge,12,15
Words,Dutch,Mid_time,Acoustic Edge,13,23
Syllables,Dutch,Mid_time,Acoustic Edge,0,16
Syllables,Dutch,Mid_time,Acoustic Edge,1,30
Syllables,Dutch,Mid_time,Acoustic Edge,2,15
Syllables,Dutch,Mid_time,Acoustic Edge,3,20
Syllables,Dutch,Mid_time,Acoustic Edge,4,15
Syllables,Dutch,Mid_time,Acoustic Edge,5,21
Syllables,Dutch,Mid_time,Acoustic Edge,6,20
Syllables,Dutch,Mid_time,Acoustic Edge,7,18
Syllables,Dutch,Mid_time,Acoustic Edge,8,16
Syllables,Dutch,Mid_time,Acoustic Edge,9,16
Syllables,Dutch,Mid_time,Acoustic Edge,10,18
Syllables,Dutch,Mid_time,Acoustic Edge,11,23
Syllables,Dutch,Mid_time,Acoustic Edge,12,16
Syllables,Dutch,Mid_time,Acoustic Edge,13,23
Words,Dutch,Late_time,Acoustic Edge,0,42
Words,Dutch,Late_time,Acoustic Edge,1,46
Words,Dutch,Late_time,Acoustic Edge,2,63
Words,Dutch,Late_time,Acoustic Edge,3,44
Words,Dutch,Late_time,Acoustic Edge,4,35
Words,Dutch,Late_time,Acoustic Edge,5,45
Words,Dutch,Late_time,Acoustic Edge,6,43
Words,Dutch,Late_time,Acoustic Edge,7,65
Words,Dutch,Late_time,Acoustic Edge,8,64
Words,Dutch,Late_time,Acoustic Edge,9,38
Words,Dutch,Late_time,Acoustic Edge,10,66
Words,Dutch,Late_time,Acoustic Edge,11,46
Words,Dutch,Late_time,Acoustic Edge,12,71
Words,Dutch,Late_time,Acoustic Edge,13,65
Syllables,Dutch,Late_time,Acoustic Edge,0,64
Syllables,Dutch,Late_time,Acoustic Edge,1,49
Syllables,Dutch,Late_time,Acoustic Edge,2,39
Syllables,Dutch,Late_time,Acoustic Edge,3,35
Syllables,Dutch,Late_time,Acoustic Edge,4,35
Syllables,Dutch,Late_time,Acoustic Edge,5,35
Syllables,Dutch,Late_time,Acoustic Edge,6,67
Syllables,Dutch,Late_time,Acoustic Edge,7,43
Syllables,Dutch,Late_time,Acoustic Edge,8,38
Syllables,Dutch,Late_time,Acoustic Edge,9,36
Syllables,Dutch,Late_time,Acoustic Edge,10,35
Syllables,Dutch,Late_time,Acoustic Edge,11,35
Syllables,Dutch,Late_time,Acoustic Edge,12,35
Syllables,Dutch,Late_time,Acoustic Edge,13,71
Words,Dutch,Early_time,Phoneme Onset,0,9
Words,Dutch,Early_time,Phoneme Onset,1,7
Words,Dutch,Early_time,Phoneme Onset,2,-3
Words,Dutch,Early_time,Phoneme Onset,3,9
Words,Dutch,Early_time,Phoneme Onset,4,9
Words,Dutch,Early_time,Phoneme Onset,5,8
Words,Dutch,Early_time,Phoneme Onset,6,8
Words,Dutch,Early_time,Phoneme Onset,7,9
Words,Dutch,Early_time,Phoneme Onset,8,8
Words,Dutch,Early_time,Phoneme Onset,9,8
Words,Dutch,Early_time,Phoneme Onset,10,9
Words,Dutch,Early_time,Phoneme Onset,11,8
Words,Dutch,Early_time,Phoneme Onset,12,9
Words,Dutch,Early_time,Phoneme Onset,13,6
Syllables,Dutch,Early_time,Phoneme Onset,0,9
Syllables,Dutch,Early_time,Phoneme Onset,1,6
Syllables,Dutch,Early_time,Phoneme Onset,2,8
Syllables,Dutch,Early_time,Phoneme Onset,3,6
Syllables,Dutch,Early_time,Phoneme Onset,4,8
Syllables,Dutch,Early_time,Phoneme Onset,5,-2
Syllables,Dutch,Early_time,Phoneme Onset,6,4
Syllables,Dutch,Early_time,Phoneme Onset,7,9
Syllables,Dutch,Early_time,Phoneme Onset,8,7
Syllables,Dutch,Early_time,Phoneme Onset,9,8
Syllables,Dutch,Early_time,Phoneme Onset,10,-3
Syllables,Dutch,Early_time,Phoneme Onset,11,2
Syllables,Dutch,Early_time,Phoneme Onset,12,2
Syllables,Dutch,Early_time,Phoneme Onset,13,-3
Words,Dutch,Mid_time,Phoneme Onset,0,23
Words,Dutch,Mid_time,Phoneme Onset,1,38
Words,Dutch,Mid_time,Phoneme Onset,2,24
Words,Dutch,Mid_time,Phoneme Onset,3,36
Words,Dutch,Mid_time,Phoneme Onset,4,15
Words,Dutch,Mid_time,Phoneme Onset,5,28
Words,Dutch,Mid_time,Phoneme Onset,6,30
Words,Dutch,Mid_time,Phoneme Onset,7,15
Words,Dutch,Mid_time,Phoneme Onset,8,15
Words,Dutch,Mid_time,Phoneme Onset,9,15
Words,Dutch,Mid_time,Phoneme Onset,10,30
Words,Dutch,Mid_time,Phoneme Onset,11,31
Words,Dutch,Mid_time,Phoneme Onset,12,22
Words,Dutch,Mid_time,Phoneme Onset,13,29
Syllables,Dutch,Mid_time,Phoneme Onset,0,24
Syllables,Dutch,Mid_time,Phoneme Onset,1,31
Syllables,Dutch,Mid_time,Phoneme Onset,2,21
Syllables,Dutch,Mid_time,Phoneme Onset,3,19
Syllables,Dutch,Mid_time,Phoneme Onset,4,19
Syllables,Dutch,Mid_time,Phoneme Onset,5,20
Syllables,Dutch,Mid_time,Phoneme Onset,6,38
Syllables,Dutch,Mid_time,Phoneme Onset,7,16
Syllables,Dutch,Mid_time,Phoneme Onset,8,20
Syllables,Dutch,Mid_time,Phoneme Onset,9,25
Syllables,Dutch,Mid_time,Phoneme Onset,10,20
Syllables,Dutch,Mid_time,Phoneme Onset,11,25
Syllables,Dutch,Mid_time,Phoneme Onset,12,25
