Stimuli,Condition,Feature,subject,accuracy
Dutch_stimuli,Words,Acoustic Edge,sub-003,0.0005494926915645212
Dutch_stimuli,Words,Acoustic Edge,sub-005,0.00022593510341531388
Dutch_stimuli,Words,Acoustic Edge,sub-007,0.0009655388085243141
Dutch_stimuli,Words,Acoustic Edge,sub-008,0.001203640407853677
Dutch_stimuli,Words,Acoustic Edge,sub-009,0.0012035371656061123
Dutch_stimuli,Words,Acoustic Edge,sub-010,0.0012118620352001154
Dutch_stimuli,Words,Acoustic Edge,sub-012,0.0006561867225535025
Dutch_stimuli,Words,Acoustic Edge,sub-013,0.0022468156098642018
Dutch_stimuli,Words,Acoustic Edge,sub-014,0.0011154089393818113
Dutch_stimuli,Words,Acoustic Edge,sub-015,0.0015892421906970509
Dutch_stimuli,Words,Acoustic Edge,sub-016,0.0013562244474815887
Dutch_stimuli,Words,Acoustic Edge,sub-017,0.0005200072250027793
Dutch_stimuli,Words,Acoustic Edge,sub-018,0.0026171345690260243
Dutch_stimuli,Words,Acoustic Edge,sub-019,0.0006156542191095388
Dutch_stimuli,Words,Acoustic Edge,sub-020,0.0006919728524552237
Chinese_stimuli,Words,Acoustic Edge,sub-003,0.0006542322224715811
Chinese_stimuli,Words,Acoustic Edge,sub-005,0.00026786622975779283
Chinese_stimuli,Words,Acoustic Edge,sub-007,0.0016126648367367409
Chinese_stimuli,Words,Acoustic Edge,sub-008,0.0009827994662766487
Chinese_stimuli,Words,Acoustic Edge,sub-009,0.0015346756021954568
Chinese_stimuli,Words,Acoustic Edge,sub-010,0.0019413538008821037
Chinese_stimuli,Words,Acoustic Edge,sub-012,0.001468013555000794
Chinese_stimuli,Words,Acoustic Edge,sub-013,0.0026430445965898194
Chinese_stimuli,Words,Acoustic Edge,sub-014,0.0009292872041651043
Chinese_stimuli,Words,Acoustic Edge,sub-015,0.0014133925219265036
Chinese_stimuli,Words,Acoustic Edge,sub-016,0.002738301744850035
Chinese_stimuli,Words,Acoustic Edge,sub-017,0.0012051214880930505
Chinese_stimuli,Words,Acoustic Edge,sub-018,0.0010505260404325835
Chinese_stimuli,Words,Acoustic Edge,sub-019,0.00047838082812786325
Chinese_stimuli,Words,Acoustic Edge,sub-020,0.0007064238932777286
Dutch_stimuli,Syllables,Acoustic Edge,sub-003,0.00020478288469785206
Dutch_stimuli,Syllables,Acoustic Edge,sub-005,0.00035541289928876394
Dutch_stimuli,Syllables,Acoustic Edge,sub-007,0.0011208698375455553
Dutch_stimuli,Syllables,Acoustic Edge,sub-008,0.00062561591151868
Dutch_stimuli,Syllables,Acoustic Edge,sub-009,0.0005700955159798786
Dutch_stimuli,Syllables,Acoustic Edge,sub-010,0.0014484523494130137
Dutch_stimuli,Syllables,Acoustic Edge,sub-012,0.0008911810025623637
Dutch_stimuli,Syllables,Acoustic Edge,sub-013,0.0022578285877050868
Dutch_stimuli,Syllables,Acoustic Edge,sub-014,0.0010460889454005206
Dutch_stimuli,Syllables,Acoustic Edge,sub-015,0.0012157639724266643
Dutch_stimuli,Syllables,Acoustic Edge,sub-016,0.0021242264512067533
