Condition,Stimuli_or_Condition,Time,Feature,subject,peak_latency
Words,Chinese,Early_time,Acoustic Edge,0,6
Words,Chinese,Early_time,Acoustic Edge,1,9
Words,Chinese,Early_time,Acoustic Edge,2,-3
Words,Chinese,Early_time,Acoustic Edge,3,5
Words,Chinese,Early_time,Acoustic Edge,4,9
Words,Chinese,Early_time,Acoustic Edge,5,9
Words,Chinese,Early_time,Acoustic Edge,6,7
Words,Chinese,Early_time,Acoustic Edge,7,7
Words,Chinese,Early_time,Acoustic Edge,8,7
Words,Chinese,Early_time,Acoustic Edge,9,9
Words,Chinese,Early_time,Acoustic Edge,10,9
Words,Chinese,Early_time,Acoustic Edge,11,9
Words,Chinese,Early_time,Acoustic Edge,12,9
Words,Chinese,Early_time,Acoustic Edge,13,8
Words,Chinese,Early_time,Acoustic Edge,14,7
Syllables,Chinese,Early_time,Acoustic Edge,0,9
Syllables,Chinese,Early_time,Acoustic Edge,1,9
Syllables,Chinese,Early_time,Acoustic Edge,2,9
Syllables,Chinese,Early_time,Acoustic Edge,3,-3
Syllables,Chinese,Early_time,Acoustic Edge,4,8
Syllables,Chinese,Early_time,Acoustic Edge,5,9
Syllables,Chinese,Early_time,Acoustic Edge,6,8
Syllables,Chinese,Early_time,Acoustic Edge,7,9
Syllables,Chinese,Early_time,Acoustic Edge,8,8
Syllables,Chinese,Early_time,Acoustic Edge,9,9
Syllables,Chinese,Early_time,Acoustic Edge,10,9
Syllables,Chinese,Early_time,Acoustic Edge,11,9
Syllables,Chinese,Early_time,Acoustic Edge,12,9
Syllables,Chinese,Early_time,Acoustic Edge,13,7
Syllables,Chinese,Early_time,Acoustic Edge,14,-3
Words,Chinese,Mid_time,Acoustic Edge,0,19
Words,Chinese,Mid_time,Acoustic Edge,1,16
Words,Chinese,Mid_time,Acoustic Edge,2,26
Words,Chinese,Mid_time,Acoustic Edge,3,19
Words,Chinese,Mid_time,Acoustic Edge,4,22
Words,Chinese,Mid_time,Acoustic Edge,5,20
Words,Chinese,Mid_time,Acoustic Edge,6,21
Words,Chinese,Mid_time,Acoustic Edge,7,22
Words,Chinese,Mid_time,Acoustic Edge,8,15
Words,Chinese,Mid_time,Acoustic Edge,9,21
Words,Chinese,Mid_time,Acoustic Edge,10,21
Words,Chinese,Mid_time,Acoustic Edge,11,15
Words,Chinese,Mid_time,Acoustic Edge,12,19
Words,Chinese,Mid_time,Acoustic Edge,13,20
Words,Chinese,Mid_time,Acoustic Edge,14,31
Syllables,Chinese,Mid_time,Acoustic Edge,0,20
Syllables,Chinese,Mid_time,Acoustic Edge,1,17
Syllables,Chinese,Mid_time,Acoustic Edge,2,27
Syllables,Chinese,Mid_time,Acoustic Edge,3,19
Syllables,Chinese,Mid_time,Acoustic Edge,4,20
Syllables,Chinese,Mid_time,Acoustic Edge,5,19
Syllables,Chinese,Mid_time,Acoustic Edge,6,21
Syllables,Chinese,Mid_time,Acoustic Edge,7,21
Syllables,Chinese,Mid_time,Acoustic Edge,8,16
Syllables,Chinese,Mid_time,Acoustic Edge,9,15
Syllables,Chinese,Mid_time,Acoustic Edge,10,21
Syllables,Chinese,Mid_time,Acoustic Edge,11,16
Syllables,Chinese,Mid_time,Acoustic Edge,12,19
Syllables,Chinese,Mid_time,Acoustic Edge,13,15
Syllables,Chinese,Mid_time,Acoustic Edge,14,31
Words,Chinese,Late_time,Acoustic Edge,0,48
Words,Chinese,Late_time,Acoustic Edge,1,44
Words,Chinese,Late_time,Acoustic Edge,2,54
Words,Chinese,Late_time,Acoustic Edge,3,49
Words,Chinese,Late_time,Acoustic Edge,4,42
Words,Chinese,Late_time,Acoustic Edge,5,41
Words,Chinese,Late_time,Acoustic Edge,6,70
Words,Chinese,Late_time,Acoustic Edge,7,39
Words,Chinese,Late_time,Acoustic Edge,8,40
Words,Chinese,Late_time,Acoustic Edge,9,45
Words,Chinese,Late_time,Acoustic Edge,10,40
Words,Chinese,Late_time,Acoustic Edge,11,35
Words,Chinese,Late_time,Acoustic Edge,12,45
Words,Chinese,Late_time,Acoustic Edge,13,40
Words,Chinese,Late_time,Acoustic Edge,14,38
Syllables,Chinese,Late_time,Acoustic Edge,0,38
Syllables,Chinese,Late_time,Acoustic Edge,1,43
Syllables,Chinese,Late_time,Acoustic Edge,2,55
Syllables,Chinese,Late_time,Acoustic Edge,3,61
Syllables,Chinese,Late_time,Acoustic Edge,4,57
Syllables,Chinese,Late_time,Acoustic Edge,5,39
Syllables,Chinese,Late_time,Acoustic Edge,6,42
Syllables,Chinese,Late_time,Acoustic Edge,7,39
Syllables,Chinese,Late_time,Acoustic Edge,8,38
Syllables,Chinese,Late_time,Acoustic Edge,9,35
Syllables,Chinese,Late_time,Acoustic Edge,10,45
Syllables,Chinese,Late_time,Acoustic Edge,11,71
Syllables,Chinese,Late_time,Acoustic Edge,12,36
Syllables,Chinese,Late_time,Acoustic Edge,13,48
Syllables,Chinese,Late_time,Acoustic Edge,14,38
Words,Chinese,Early_time,Phoneme Onset,0,5
Words,Chinese,Early_time,Phoneme Onset,1,9
Words,Chinese,Early_time,Phoneme Onset,2,9
Words,Chinese,Early_time,Phoneme Onset,3,-2
Words,Chinese,Early_time,Phoneme Onset,4,8
Words,Chinese,Early_time,Phoneme Onset,5,9
Words,Chinese,Early_time,Phoneme Onset,6,9
Words,Chinese,Early_time,Phoneme Onset,7,-3
Words,Chinese,Early_time,Phoneme Onset,8,9
Words,Chinese,Early_time,Phoneme Onset,9,9
Words,Chinese,Early_time,Phoneme Onset,10,9
Words,Chinese,Early_time,Phoneme Onset,11,9
Words,Chinese,Early_time,Phoneme Onset,12,9
Words,Chinese,Early_time,Phoneme Onset,13,9
Words,Chinese,Early_time,Phoneme Onset,14,-2
Syllables,Chinese,Early_time,Phoneme Onset,0,8
Syllables,Chinese,Early_time,Phoneme Onset,1,2
Syllables,Chinese,Early_time,Phoneme Onset,2,9
Syllables,Chinese,Early_time,Phoneme Onset,3,-3
Syllables,Chinese,Early_time,Phoneme Onset,4,9
Syllables,Chinese,Early_time,Phoneme Onset,5,9
Syllables,Chinese,Early_time,Phoneme Onset,6,8
Syllables,Chinese,Early_time,Phoneme Onset,7,8
Syllables,Chinese,Early_time,Phoneme Onset,8,-2
Syllables,Chinese,Early_time,Phoneme Onset,9,-3
Syllables,Chinese,Early_time,Phoneme Onset,10,9
Syllables,Chinese,Early_time,Phoneme Onset,11,9
Syllables,Chinese,Early_time,Phoneme Onset,12,9
Syllables,Chinese,Early_time,Phoneme Onset,13,9
Syllables,Chinese,Early_time,Phoneme Onset,14,-2
Words,Chinese,Mid_time,Phoneme Onset,0,32
Words,Chinese,Mid_time,Phoneme Onset,1,15
Words,Chinese,Mid_time,Phoneme Onset,2,27
Words,Chinese,Mid_time,Phoneme Onset,3,20
Words,Chinese,Mid_time,Phoneme Onset,4,15
Words,Chinese,Mid_time,Phoneme Onset,5,34
Words,Chinese,Mid_time,Phoneme Onset,6,23
Words,Chinese,Mid_time,Phoneme Onset,7,22
Words,Chinese,Mid_time,Phoneme Onset,8,16
Words,Chinese,Mid_time,Phoneme Onset,9,23
Words,Chinese,Mid_time,Phoneme Onset,10,16
Words,Chinese,Mid_time,Phoneme Onset,11,15
Words,Chinese,Mid_time,Phoneme Onset,12,16
Words,Chinese,Mid_time,Phoneme Onset,13,15
Words,Chinese,Mid_time,Phoneme Onset,14,22
Syllables,Chinese,Mid_time,Phoneme Onset,0,38
Syllables,Chinese,Mid_time,Phoneme Onset,1,17
Syllables,Chinese,Mid_time,Phoneme Onset,2,27
Syllables,Chinese,Mid_time,Phoneme Onset,3,35
Syllables,Chinese,Mid_time,Phoneme Onset,4,15
Syllables,Chinese,Mid_time,Phoneme Onset,5,15
Syllables,Chinese,Mid_time,Phoneme Onset,6,23
Syllables,Chinese,Mid_time,Phoneme Onset,7,22
Syllables,Chinese,Mid_time,Phoneme Onset,8,17
Syllables,Chinese,Mid_time,Phoneme Onset,9,24
Syllables,Chinese,Mid_time,Phoneme Onset,10,16
Syllables,Chinese,Mid_time,Phoneme Onset,11,24
Syllables,Chinese,Mid_time,Phoneme Onset,12,15
Syllables,Chinese,Mid_time,Phoneme Onset,13,16
Syllables,Chinese,Mid_time,Phoneme Onset,14,22
Words,Chinese,Late_time,Phoneme Onset,0,38
Words,Chinese,Late_time,Phoneme Onset,1,50
Words,Chinese,Late_time,Phoneme Onset,2,57
Words,Chinese,Late_time,Phoneme Onset,3,35
Words,Chinese,Late_time,Phoneme Onset,4,59
Words,Chinese,Late_time,Phoneme Onset,5,55
Words,Chinese,Late_time,Phoneme Onset,6,57
Words,Chinese,Late_time,Phoneme Onset,7,68
Words,Chinese,Late_time,Phoneme Onset,8,58
Words,Chinese,Late_time,Phoneme Onset,9,60
Words,Chinese,Late_time,Phoneme Onset,10,37
Words,Chinese,Late_time,Phoneme Onset,11,45
Words,Chinese,Late_time,Phoneme Onset,12,40
Words,Chinese,Late_time,Phoneme Onset,13,41
Words,Chinese,Late_time,Phoneme Onset,14,37
Syllables,Chinese,Late_time,Phoneme Onset,0,40
Syllables,Chinese,Late_time,Phoneme Onset,1,44
Syllables,Chinese,Late_time,Phoneme Onset,2,58
Syllables,Chinese,Late_time,Phoneme Onset,3,43
Syllables,Chinese,Late_time,Phoneme Onset,4,62
Syllables,Chinese,Late_time,Phoneme Onset,5,70
Syllables,Chinese,Late_time,Phoneme Onset,6,40
Syllables,Chinese,Late_time,Phoneme Onset,7,63
Syllables,Chinese,Late_time,Phoneme Onset,8,49
Syllables,Chinese,Late_time,Phoneme Onset,9,39
Syllables,Chinese,Late_time,Phoneme Onset,10,42
Syllables,Chinese,Late_time,Phoneme Onset,11,43
