Condition,Stimuli_or_Condition,Time,Feature,subject,peak_latency
Words,Dutch,Early_time,Acoustic Edge,0,9
Words,Dutch,Early_time,Acoustic Edge,1,4
Words,Dutch,Early_time,Acoustic Edge,2,-3
Words,Dutch,Early_time,Acoustic Edge,3,9
Words,Dutch,Early_time,Acoustic Edge,4,9
Words,Dutch,Early_time,Acoustic Edge,5,9
Words,Dutch,Early_time,Acoustic Edge,6,-2
Words,Dutch,Early_time,Acoustic Edge,7,9
Words,Dutch,Early_time,Acoustic Edge,8,9
Words,Dutch,Early_time,Acoustic Edge,9,4
Words,Dutch,Early_time,Acoustic Edge,10,9
Words,Dutch,Early_time,Acoustic Edge,11,9
Words,Dutch,Early_time,Acoustic Edge,12,9
Words,Dutch,Early_time,Acoustic Edge,13,-2
Words,Dutch,Early_time,Acoustic Edge,14,0
Syllables,Dutch,Early_time,Acoustic Edge,0,-3
Syllables,Dutch,Early_time,Acoustic Edge,1,9
Syllables,Dutch,Early_time,Acoustic Edge,2,-3
Syllables,Dutch,Early_time,Acoustic Edge,3,9
Syllables,Dutch,Early_time,Acoustic Edge,4,9
Syllables,Dutch,Early_time,Acoustic Edge,5,9
Syllables,Dutch,Early_time,Acoustic Edge,6,9
Syllables,Dutch,Early_time,Acoustic Edge,7,9
Syllables,Dutch,Early_time,Acoustic Edge,8,9
Syllables,Dutch,Early_time,Acoustic Edge,9,9
Syllables,Dutch,Early_time,Acoustic Edge,10,9
Syllables,Dutch,Early_time,Acoustic Edge,11,-3
Syllables,Dutch,Early_time,Acoustic Edge,12,9
Syllables,Dutch,Early_time,Acoustic Edge,13,9
Syllables,Dutch,Early_time,Acoustic Edge,14,-2
Words,Dutch,Mid_time,Acoustic Edge,0,15
Words,Dutch,Mid_time,Acoustic Edge,1,17
Words,Dutch,Mid_time,Acoustic Edge,2,33
Words,Dutch,Mid_time,Acoustic Edge,3,22
Words,Dutch,Mid_time,Acoustic Edge,4,16
Words,Dutch,Mid_time,Acoustic Edge,5,21
Words,Dutch,Mid_time,Acoustic Edge,6,22
Words,Dutch,Mid_time,Acoustic Edge,7,22
Words,Dutch,Mid_time,Acoustic Edge,8,16
Words,Dutch,Mid_time,Acoustic Edge,9,22
Words,Dutch,Mid_time,Acoustic Edge,10,15
Words,Dutch,Mid_time,Acoustic Edge,11,17
Words,Dutch,Mid_time,Acoustic Edge,12,18
Words,Dutch,Mid_time,Acoustic Edge,13,32
Words,Dutch,Mid_time,Acoustic Edge,14,19
Syllables,Dutch,Mid_time,Acoustic Edge,0,27
Syllables,Dutch,Mid_time,Acoustic Edge,1,18
Syllables,Dutch,Mid_time,Acoustic Edge,2,23
Syllables,Dutch,Mid_time,Acoustic Edge,3,15
Syllables,Dutch,Mid_time,Acoustic Edge,4,17
Syllables,Dutch,Mid_time,Acoustic Edge,5,21
Syllables,Dutch,Mid_time,Acoustic Edge,6,22
Syllables,Dutch,Mid_time,Acoustic Edge,7,22
Syllables,Dutch,Mid_time,Acoustic Edge,8,18
Syllables,Dutch,Mid_time,Acoustic Edge,9,16
Syllables,Dutch,Mid_time,Acoustic Edge,10,17
Syllables,Dutch,Mid_time,Acoustic Edge,11,17
Syllables,Dutch,Mid_time,Acoustic Edge,12,19
Syllables,Dutch,Mid_time,Acoustic Edge,13,16
Syllables,Dutch,Mid_time,Acoustic Edge,14,17
Words,Dutch,Late_time,Acoustic Edge,0,62
Words,Dutch,Late_time,Acoustic Edge,1,49
Words,Dutch,Late_time,Acoustic Edge,2,35
Words,Dutch,Late_time,Acoustic Edge,3,70
Words,Dutch,Late_time,Acoustic Edge,4,41
Words,Dutch,Late_time,Acoustic Edge,5,43
Words,Dutch,Late_time,Acoustic Edge,6,71
Words,Dutch,Late_time,Acoustic Edge,7,38
Words,Dutch,Late_time,Acoustic Edge,8,37
Words,Dutch,Late_time,Acoustic Edge,9,36
Words,Dutch,Late_time,Acoustic Edge,10,44
Words,Dutch,Late_time,Acoustic Edge,11,35
Words,Dutch,Late_time,Acoustic Edge,12,50
Words,Dutch,Late_time,Acoustic Edge,13,47
Words,Dutch,Late_time,Acoustic Edge,14,48
Syllables,Dutch,Late_time,Acoustic Edge,0,36
Syllables,Dutch,Late_time,Acoustic Edge,1,64
Syllables,Dutch,Late_time,Acoustic Edge,2,35
Syllables,Dutch,Late_time,Acoustic Edge,3,37
Syllables,Dutch,Late_time,Acoustic Edge,4,39
Syllables,Dutch,Late_time,Acoustic Edge,5,62
Syllables,Dutch,Late_time,Acoustic Edge,6,38
Syllables,Dutch,Late_time,Acoustic Edge,7,44
Syllables,Dutch,Late_time,Acoustic Edge,8,41
Syllables,Dutch,Late_time,Acoustic Edge,9,71
Syllables,Dutch,Late_time,Acoustic Edge,10,35
Syllables,Dutch,Late_time,Acoustic Edge,11,69
Syllables,Dutch,Late_time,Acoustic Edge,12,35
Syllables,Dutch,Late_time,Acoustic Edge,13,42
Syllables,Dutch,Late_time,Acoustic Edge,14,36
Words,Dutch,Early_time,Phoneme Onset,0,9
Words,Dutch,Early_time,Phoneme Onset,1,-3
Words,Dutch,Early_time,Phoneme Onset,2,9
Words,Dutch,Early_time,Phoneme Onset,3,8
Words,Dutch,Early_time,Phoneme Onset,4,-3
Words,Dutch,Early_time,Phoneme Onset,5,-2
Words,Dutch,Early_time,Phoneme Onset,6,9
Words,Dutch,Early_time,Phoneme Onset,7,6
Words,Dutch,Early_time,Phoneme Onset,8,9
Words,Dutch,Early_time,Phoneme Onset,9,-3
Words,Dutch,Early_time,Phoneme Onset,10,9
Words,Dutch,Early_time,Phoneme Onset,11,9
Words,Dutch,Early_time,Phoneme Onset,12,-3
Words,Dutch,Early_time,Phoneme Onset,13,9
Words,Dutch,Early_time,Phoneme Onset,14,9
Syllables,Dutch,Early_time,Phoneme Onset,0,9
Syllables,Dutch,Early_time,Phoneme Onset,1,6
Syllables,Dutch,Early_time,Phoneme Onset,2,7
Syllables,Dutch,Early_time,Phoneme Onset,3,7
Syllables,Dutch,Early_time,Phoneme Onset,4,7
