Condition,Stimuli_or_Condition,Time,Feature,subject,peak_latency
Dutch_stimuli,Words,Early_time,Acoustic Edge,0,9
Dutch_stimuli,Words,Early_time,Acoustic Edge,1,4
Dutch_stimuli,Words,Early_time,Acoustic Edge,2,-3
Dutch_stimuli,Words,Early_time,Acoustic Edge,3,9
Dutch_stimuli,Words,Early_time,Acoustic Edge,4,9
Dutch_stimuli,Words,Early_time,Acoustic Edge,5,9
Dutch_stimuli,Words,Early_time,Acoustic Edge,6,-2
Dutch_stimuli,Words,Early_time,Acoustic Edge,7,9
Dutch_stimuli,Words,Early_time,Acoustic Edge,8,9
Dutch_stimuli,Words,Early_time,Acoustic Edge,9,4
Dutch_stimuli,Words,Early_time,Acoustic Edge,10,9
Dutch_stimuli,Words,Early_time,Acoustic Edge,11,9
Dutch_stimuli,Words,Early_time,Acoustic Edge,12,9
Dutch_stimuli,Words,Early_time,Acoustic Edge,13,-2
Dutch_stimuli,Words,Early_time,Acoustic Edge,14,0
Chinese_stimuli,Words,Early_time,Acoustic Edge,0,6
Chinese_stimuli,Words,Early_time,Acoustic Edge,1,9
Chinese_stimuli,Words,Early_time,Acoustic Edge,2,-3
Chinese_stimuli,Words,Early_time,Acoustic Edge,3,5
Chinese_stimuli,Words,Early_time,Acoustic Edge,4,9
Chinese_stimuli,Words,Early_time,Acoustic Edge,5,9
Chinese_stimuli,Words,Early_time,Acoustic Edge,6,7
Chinese_stimuli,Words,Early_time,Acoustic Edge,7,7
Chinese_stimuli,Words,Early_time,Acoustic Edge,8,7
Chinese_stimuli,Words,Early_time,Acoustic Edge,9,9
Chinese_stimuli,Words,Early_time,Acoustic Edge,10,9
Chinese_stimuli,Words,Early_time,Acoustic Edge,11,9
Chinese_stimuli,Words,Early_time,Acoustic Edge,12,9
Chinese_stimuli,Words,Early_time,Acoustic Edge,13,8
Chinese_stimuli,Words,Early_time,Acoustic Edge,14,7
Dutch_stimuli,Words,Mid_time,Acoustic Edge,0,15
Dutch_stimuli,Words,Mid_time,Acoustic Edge,1,17
Dutch_stimuli,Words,Mid_time,Acoustic Edge,2,33
Dutch_stimuli,Words,Mid_time,Acoustic Edge,3,22
Dutch_stimuli,Words,Mid_time,Acoustic Edge,4,16
Dutch_stimuli,Words,Mid_time,Acoustic Edge,5,21
Dutch_stimuli,Words,Mid_time,Acoustic Edge,6,22
Dutch_stimuli,Words,Mid_time,Acoustic Edge,7,22
Dutch_stimuli,Words,Mid_time,Acoustic Edge,8,16
Dutch_stimuli,Words,Mid_time,Acoustic Edge,9,22
Dutch_stimuli,Words,Mid_time,Acoustic Edge,10,15
Dutch_stimuli,Words,Mid_time,Acoustic Edge,11,17
Dutch_stimuli,Words,Mid_time,Acoustic Edge,12,18
Dutch_stimuli,Words,Mid_time,Acoustic Edge,13,32
Dutch_stimuli,Words,Mid_time,Acoustic Edge,14,19
Chinese_stimuli,Words,Mid_time,Acoustic Edge,0,19
Chinese_stimuli,Words,Mid_time,Acoustic Edge,1,16
Chinese_stimuli,Words,Mid_time,Acoustic Edge,2,26
Chinese_stimuli,Words,Mid_time,Acoustic Edge,3,19
Chinese_stimuli,Words,Mid_time,Acoustic Edge,4,22
Chinese_stimuli,Words,Mid_time,Acoustic Edge,5,20
Chinese_stimuli,Words,Mid_time,Acoustic Edge,6,21
Chinese_stimuli,Words,Mid_time,Acoustic Edge,7,22
Chinese_stimuli,Words,Mid_time,Acoustic Edge,8,15
Chinese_stimuli,Words,Mid_time,Acoustic Edge,9,21
Chinese_stimuli,Words,Mid_time,Acoustic Edge,10,21
Chinese_stimuli,Words,Mid_time,Acoustic Edge,11,15
Chinese_stimuli,Words,Mid_time,Acoustic Edge,12,19
Chinese_stimuli,Words,Mid_time,Acoustic Edge,13,20
Chinese_stimuli,Words,Mid_time,Acoustic Edge,14,31
Dutch_stimuli,Words,Late_time,Acoustic Edge,0,62
Dutch_stimuli,Words,Late_time,Acoustic Edge,1,49
Dutch_stimuli,Words,Late_time,Acoustic Edge,2,35
Dutch_stimuli,Words,Late_time,Acoustic Edge,3,70
Dutch_stimuli,Words,Late_time,Acoustic Edge,4,41
Dutch_stimuli,Words,Late_time,Acoustic Edge,5,43
Dutch_stimuli,Words,Late_time,Acoustic Edge,6,71
Dutch_stimuli,Words,Late_time,Acoustic Edge,7,38
Dutch_stimuli,Words,Late_time,Acoustic Edge,8,37
Dutch_stimuli,Words,Late_time,Acoustic Edge,9,36
Dutch_stimuli,Words,Late_time,Acoustic Edge,10,44
Dutch_stimuli,Words,Late_time,Acoustic Edge,11,35
Dutch_stimuli,Words,Late_time,Acoustic Edge,12,50
Dutch_stimuli,Words,Late_time,Acoustic Edge,13,47
Dutch_stimuli,Words,Late_time,Acoustic Edge,14,48
Chinese_stimuli,Words,Late_time,Acoustic Edge,0,48
Chinese_stimuli,Words,Late_time,Acoustic Edge,1,44
Chinese_stimuli,Words,Late_time,Acoustic Edge,2,54
Chinese_stimuli,Words,Late_time,Acoustic Edge,3,49
Chinese_stimuli,Words,Late_time,Acoustic Edge,4,42
Chinese_stimuli,Words,Late_time,Acoustic Edge,5,41
Chinese_stimuli,Words,Late_time,Acoustic Edge,6,70
Chinese_stimuli,Words,Late_time,Acoustic Edge,7,39
Chinese_stimuli,Words,Late_time,Acoustic Edge,8,40
Chinese_stimuli,Words,Late_time,Acoustic Edge,9,45
Chinese_stimuli,Words,Late_time,Acoustic Edge,10,40
Chinese_stimuli,Words,Late_time,Acoustic Edge,11,35
Chinese_stimuli,Words,Late_time,Acoustic Edge,12,45
Chinese_stimuli,Words,Late_time,Acoustic Edge,13,40
Chinese_stimuli,Words,Late_time,Acoustic Edge,14,38
Dutch_stimuli,Words,Early_time,Phoneme Onset,0,9
Dutch_stimuli,Words,Early_time,Phoneme Onset,1,-3
Dutch_stimuli,Words,Early_time,Phoneme Onset,2,9
Dutch_stimuli,Words,Early_time,Phoneme Onset,3,8
Dutch_stimuli,Words,Early_time,Phoneme Onset,4,-3
Dutch_stimuli,Words,Early_time,Phoneme Onset,5,-2
Dutch_stimuli,Words,Early_time,Phoneme Onset,6,9
Dutch_stimuli,Words,Early_time,Phoneme Onset,7,6
Dutch_stimuli,Words,Early_time,Phoneme Onset,8,9
Dutch_stimuli,Words,Early_time,Phoneme Onset,9,-3
Dutch_stimuli,Words,Early_time,Phoneme Onset,10,9
Dutch_stimuli,Words,Early_time,Phoneme Onset,11,9
Dutch_stimuli,Words,Early_time,Phoneme Onset,12,-3
Dutch_stimuli,Words,Early_time,Phoneme Onset,13,9
Dutch_stimuli,Words,Early_time,Phoneme Onset,14,9
Chinese_stimuli,Words,Early_time,Phoneme Onset,0,5
Chinese_stimuli,Words,Early_time,Phoneme Onset,1,9
Chinese_stimuli,Words,Early_time,Phoneme Onset,2,9
Chinese_stimuli,Words,Early_time,Phoneme Onset,3,-2
Chinese_stimuli,Words,Early_time,Phoneme Onset,4,8
Chinese_stimuli,Words,Early_time,Phoneme Onset,5,9
Chinese_stimuli,Words,Early_time,Phoneme Onset,6,9
Chinese_stimuli,Words,Early_time,Phoneme Onset,7,-3
Chinese_stimuli,Words,Early_time,Phoneme Onset,8,9
Chinese_stimuli,Words,Early_time,Phoneme Onset,9,9
Chinese_stimuli,Words,Early_time,Phoneme Onset,10,9
Chinese_stimuli,Words,Early_time,Phoneme Onset,11,9
Chinese_stimuli,Words,Early_time,Phoneme Onset,12,9
Chinese_stimuli,Words,Early_time,Phoneme Onset,13,9
Chinese_stimuli,Words,Early_time,Phoneme Onset,14,-2
Dutch_stimuli,Words,Mid_time,Phoneme Onset,0,19
Dutch_stimuli,Words,Mid_time,Phoneme Onset,1,35
Dutch_stimuli,Words,Mid_time,Phoneme Onset,2,34
Dutch_stimuli,Words,Mid_time,Phoneme Onset,3,21
Dutch_stimuli,Words,Mid_time,Phoneme Onset,4,31
Dutch_stimuli,Words,Mid_time,Phoneme Onset,5,19
Dutch_stimuli,Words,Mid_time,Phoneme Onset,6,31
Dutch_stimuli,Words,Mid_time,Phoneme Onset,7,28
Dutch_stimuli,Words,Mid_time,Phoneme Onset,8,32
Dutch_stimuli,Words,Mid_time,Phoneme Onset,9,25
Dutch_stimuli,Words,Mid_time,Phoneme Onset,10,35
Dutch_stimuli,Words,Mid_time,Phoneme Onset,11,17
Dutch_stimuli,Words,Mid_time,Phoneme Onset,12,33
Dutch_stimuli,Words,Mid_time,Phoneme Onset,13,15
Dutch_stimuli,Words,Mid_time,Phoneme Onset,14,15
Chinese_stimuli,Words,Mid_time,Phoneme Onset,0,32
Chinese_stimuli,Words,Mid_time,Phoneme Onset,1,15
Chinese_stimuli,Words,Mid_time,Phoneme Onset,2,27
Chinese_stimuli,Words,Mid_time,Phoneme Onset,3,20
Chinese_stimuli,Words,Mid_time,Phoneme Onset,4,15
Chinese_stimuli,Words,Mid_time,Phoneme Onset,5,34
Chinese_stimuli,Words,Mid_time,Phoneme Onset,6,23
Chinese_stimuli,Words,Mid_time,Phoneme Onset,7,22
Chinese_stimuli,Words,Mid_time,Phoneme Onset,8,16
Chinese_stimuli,Words,Mid_time,Phoneme Onset,9,23
Chinese_stimuli,Words,Mid_time,Phoneme Onset,10,16
Chinese_stimuli,Words,Mid_time,Phoneme Onset,11,15
Chinese_stimuli,Words,Mid_time,Phoneme Onset,12,16
Chinese_stimuli,Words,Mid_time,Phoneme Onset,13,15
Chinese_stimuli,Words,Mid_time,Phoneme Onset,14,22
Dutch_stimuli,Words,Late_time,Phoneme Onset,0,36
Dutch_stimuli,Words,Late_time,Phoneme Onset,1,35
Dutch_stimuli,Words,Late_time,Phoneme Onset,2,37
Dutch_stimuli,Words,Late_time,Phoneme Onset,3,67
Dutch_stimuli,Words,Late_time,Phoneme Onset,4,43
Dutch_stimuli,Words,Late_time,Phoneme Onset,5,36
Dutch_stimuli,Words,Late_time,Phoneme Onset,6,35
Dutch_stimuli,Words,Late_time,Phoneme Onset,7,66
Dutch_stimuli,Words,Late_time,Phoneme Onset,8,67
Dutch_stimuli,Words,Late_time,Phoneme Onset,9,55
Dutch_stimuli,Words,Late_time,Phoneme Onset,10,35
Dutch_stimuli,Words,Late_time,Phoneme Onset,11,35
Dutch_stimuli,Words,Late_time,Phoneme Onset,12,35
Dutch_stimuli,Words,Late_time,Phoneme Onset,13,35
Dutch_stimuli,Words,Late_time,Phoneme Onset,14,39
Chinese_stimuli,Words,Late_time,Phoneme Onset,0,38
Chinese_stimuli,Words,Late_time,Phoneme Onset,1,50
Chinese_stimuli,Words,Late_time,Phoneme Onset,2,57
Chinese_stimuli,Words,Late_time,Phoneme Onset,3,35
Chinese_stimuli,Words,Late_time,Phoneme Onset,4,59
Chinese_stimuli,Words,Late_time,Phoneme Onset,5,55
Chinese_stimuli,Words,Late_time,Phoneme Onset,6,57
Chinese_stimuli,Words,Late_time,Phoneme Onset,7,68
Chinese_stimuli,Words,Late_time,Phoneme Onset,8,58
Chinese_stimuli,Words,Late_time,Phoneme Onset,9,60
Chinese_stimuli,Words,Late_time,Phoneme Onset,10,37
Chinese_stimuli,Words,Late_time,Phoneme Onset,11,45
Chinese_stimuli,Words,Late_time,Phoneme Onset,12,40
Chinese_stimuli,Words,Late_time,Phoneme Onset,13,41
Chinese_stimuli,Words,Late_time,Phoneme Onset,14,37
