Stimuli,condition,feature,subject,accuracy
Dutch_stimuli,Words,Phoneme Onset,sub-021,0.0002468670669784328
Dutch_stimuli,Words,Phoneme Onset,sub-022,7.571715898202803e-05
Dutch_stimuli,Words,Phoneme Onset,sub-023,0.00020237887898687988
Dutch_stimuli,Words,Phoneme Onset,sub-024,0.0003884560502791994
Dutch_stimuli,Words,Phoneme Onset,sub-025,0.00027403115053701687
Dutch_stimuli,Words,Phoneme Onset,sub-026,0.0002606748207795758
Dutch_stimuli,Words,Phoneme Onset,sub-027,0.00010074010654540389
Dutch_stimuli,Words,Phoneme Onset,sub-028,0.0004199176735260813
Dutch_stimuli,Words,Phoneme Onset,sub-029,9.232673238107272e-05
Dutch_stimuli,Words,Phoneme Onset,sub-030,2.5151848250396844e-05
Dutch_stimuli,Words,Phoneme Onset,sub-032,0.00011596069845034516
Dutch_stimuli,Words,Phoneme Onset,sub-033,2.3187982501445788e-05
Dutch_stimuli,Words,Phoneme Onset,sub-034,4.188546218589291e-05
Dutch_stimuli,Words,Phoneme Onset,sub-035,0.00010172150408586318
Chinese_stimuli,Words,Phoneme Onset,sub-021,9.473197902361679e-05
Chinese_stimuli,Words,Phoneme Onset,sub-022,-9.507838517426253e-05
Chinese_stimuli,Words,Phoneme Onset,sub-023,1.9117560245126207e-05
Chinese_stimuli,Words,Phoneme Onset,sub-024,0.00021037235494084273
Chinese_stimuli,Words,Phoneme Onset,sub-025,0.00018639176240789696
Chinese_stimuli,Words,Phoneme Onset,sub-026,0.00031355993005244005
Chinese_stimuli,Words,Phoneme Onset,sub-027,5.5634986576044685e-05
Chinese_stimuli,Words,Phoneme Onset,sub-028,9.098196049442107e-06
Chinese_stimuli,Words,Phoneme Onset,sub-029,3.709111730864181e-05
Chinese_stimuli,Words,Phoneme Onset,sub-030,8.060311891204543e-05
Chinese_stimuli,Words,Phoneme Onset,sub-032,0.00018009138330822813
Chinese_stimuli,Words,Phoneme Onset,sub-033,-9.235764790905162e-06
Chinese_stimuli,Words,Phoneme Onset,sub-034,-8.384615761962061e-06
Chinese_stimuli,Words,Phoneme Onset,sub-035,0.0001802547706365008
Dutch_stimuli,Syllables,Phoneme Onset,sub-021,5.710170181539796e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-022,-1.1827493190286808e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-023,0.00015121486444389802
Dutch_stimuli,Syllables,Phoneme Onset,sub-024,0.00010192849064912516
Dutch_stimuli,Syllables,Phoneme Onset,sub-025,0.00011629847232927075
Dutch_stimuli,Syllables,Phoneme Onset,sub-026,8.728879751318769e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-027,2.6898906031176717e-06
Dutch_stimuli,Syllables,Phoneme Onset,sub-028,0.00011546500255331092
Dutch_stimuli,Syllables,Phoneme Onset,sub-029,9.908467626232328e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-030,0.00010810840123358937
Dutch_stimuli,Syllables,Phoneme Onset,sub-032,9.900626653499241e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-033,-2.3470694441691777e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-034,5.7369151427593256e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-035,9.004897131869802e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-021,0.00011593513741266331
Chinese_stimuli,Syllables,Phoneme Onset,sub-022,3.87914386081853e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-023,0.0007230386641524803
Chinese_stimuli,Syllables,Phoneme Onset,sub-024,0.00014699903601412268
Chinese_stimuli,Syllables,Phoneme Onset,sub-025,3.4668863491341154e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-026,5.660783565770541e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-027,0.00013402455562991174
Chinese_stimuli,Syllables,Phoneme Onset,sub-028,2.291894125414025e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-029,0.00011260088571848244
Chinese_stimuli,Syllables,Phoneme Onset,sub-030,0.00010246994555612766
Chinese_stimuli,Syllables,Phoneme Onset,sub-032,0.0001240849708481996
Chinese_stimuli,Syllables,Phoneme Onset,sub-033,4.5581577346642875e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-034,6.38721260793882e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-035,2.6688449687822067e-05
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-021,0.0014619482211137758
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-022,0.0010054464022242005
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-023,0.0024711809078958877
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-024,0.002388804429221697
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-025,0.00291608891819328
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-026,0.004124930967471956
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-027,0.0023608337517468103
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-028,0.002677447049218378
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-029,0.004010766750253885
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-030,0.0025093247459361243
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-032,0.0006131411361661207
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-033,0.00048778331336327656
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-034,0.0026164528002392117
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-035,0.0010748906814770256
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-021,0.0013379709049817128
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-022,0.0003416330939386314
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-023,0.0037333237334725034
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-024,0.00204115202188986
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-025,0.0012287387162175252
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-026,0.0009811629239042123
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-027,0.0003804635376083723
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-028,0.004012076136945325
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-029,0.005151297582902132
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-030,0.0019325080005266925
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-032,0.005421344764012688
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-033,0.0006737617520384165
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-034,0.0016594156454652373
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-035,0.0016281007685739297
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-021,5.626085210102557e-05
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-022,1.569264997769772e-05
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-023,0.0003647790435604129
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-024,1.2724726378502156e-05
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-025,0.00017822039396424313
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-026,4.7607545628603375e-05
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-027,-8.213564787951398e-05
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-028,7.295579904644477e-05
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-029,0.00032919803260457
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-030,0.00016485100510610712
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-032,3.3779969936412664e-05
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-033,-1.8982978703835723e-05
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-034,-4.945723164533985e-06
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-035,9.96582202543172e-05
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-021,0.00025742202386811694
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-022,-2.6992126035960492e-05
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-023,0.00012769152241781987
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-024,3.357688735413397e-05
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-025,0.00010640080601002252
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-026,0.00011356474240320906
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-027,5.840949451363256e-05
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-028,0.00015911718401020338
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-029,0.0003445067123345036
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-030,0.00014209103346555268
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-032,2.8704955043945473e-05
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-033,-7.186211145258422e-05
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-034,0.00015776574457669065
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-035,7.667569080488712e-05
