Stimuli,condition,feature,subject,accuracy
Dutch_stimuli,Words,Phoneme Onset,sub-003,4.323864231396861e-06
Dutch_stimuli,Words,Phoneme Onset,sub-005,5.136391078946241e-05
Dutch_stimuli,Words,Phoneme Onset,sub-007,7.269410546650426e-05
Dutch_stimuli,Words,Phoneme Onset,sub-008,5.6020825821116333e-05
Dutch_stimuli,Words,Phoneme Onset,sub-009,3.672619483999719e-05
Dutch_stimuli,Words,Phoneme Onset,sub-010,0.00010258052319723915
Dutch_stimuli,Words,Phoneme Onset,sub-012,1.844132019468024e-05
Dutch_stimuli,Words,Phoneme Onset,sub-013,4.448496577413246e-05
Dutch_stimuli,Words,Phoneme Onset,sub-014,1.8601632143978395e-05
Dutch_stimuli,Words,Phoneme Onset,sub-015,7.931905136700785e-05
Dutch_stimuli,Words,Phoneme Onset,sub-016,2.3125233705283827e-05
Dutch_stimuli,Words,Phoneme Onset,sub-017,9.042125349009288e-06
Dutch_stimuli,Words,Phoneme Onset,sub-018,7.598765600883116e-05
Dutch_stimuli,Words,Phoneme Onset,sub-019,0.0001135632164226626
Dutch_stimuli,Words,Phoneme Onset,sub-020,2.255839667945889e-05
Chinese_stimuli,Words,Phoneme Onset,sub-003,7.01002897049449e-05
Chinese_stimuli,Words,Phoneme Onset,sub-005,6.284670383437349e-05
Chinese_stimuli,Words,Phoneme Onset,sub-007,0.00016121982506127442
Chinese_stimuli,Words,Phoneme Onset,sub-008,9.55911928210536e-06
Chinese_stimuli,Words,Phoneme Onset,sub-009,0.0001325535575854201
Chinese_stimuli,Words,Phoneme Onset,sub-010,0.00014659476677540876
Chinese_stimuli,Words,Phoneme Onset,sub-012,9.186774463119098e-05
Chinese_stimuli,Words,Phoneme Onset,sub-013,0.0004248918869310662
Chinese_stimuli,Words,Phoneme Onset,sub-014,0.00010091591610945386
Chinese_stimuli,Words,Phoneme Onset,sub-015,5.757122307908469e-05
Chinese_stimuli,Words,Phoneme Onset,sub-016,0.0001038809480022614
Chinese_stimuli,Words,Phoneme Onset,sub-017,7.103352304801122e-05
Chinese_stimuli,Words,Phoneme Onset,sub-018,0.00015795228029811422
Chinese_stimuli,Words,Phoneme Onset,sub-019,0.00044995455162604586
Chinese_stimuli,Words,Phoneme Onset,sub-020,0.0002575047171651295
Dutch_stimuli,Syllables,Phoneme Onset,sub-003,3.2856131413518385e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-005,3.019797021525895e-06
Dutch_stimuli,Syllables,Phoneme Onset,sub-007,1.9031004740180993e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-008,3.999146733152768e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-009,0.00013112717747491216
Dutch_stimuli,Syllables,Phoneme Onset,sub-010,8.158986077142962e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-012,3.718069448782916e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-013,3.43340597978587e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-014,6.476324075258008e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-015,6.960633935602571e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-016,0.00012920540626640696
Dutch_stimuli,Syllables,Phoneme Onset,sub-017,6.912781874235347e-06
Dutch_stimuli,Syllables,Phoneme Onset,sub-018,0.00017553111399981912
Dutch_stimuli,Syllables,Phoneme Onset,sub-019,6.127039360079715e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-020,2.275476980230959e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-003,2.1244135917019452e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-005,5.3219560748534927e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-007,0.00018029765906873234
Chinese_stimuli,Syllables,Phoneme Onset,sub-008,4.373750366516175e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-009,0.00024444391652534813
Chinese_stimuli,Syllables,Phoneme Onset,sub-010,8.064320654358003e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-012,-2.074769454359757e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-013,0.00016768745699608181
Chinese_stimuli,Syllables,Phoneme Onset,sub-014,5.914336557040517e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-015,6.468611140679713e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-016,0.00018590910863331783
Chinese_stimuli,Syllables,Phoneme Onset,sub-017,7.035792557718142e-06
Chinese_stimuli,Syllables,Phoneme Onset,sub-018,0.00018617927000789795
Chinese_stimuli,Syllables,Phoneme Onset,sub-019,0.00016226758249922364
Chinese_stimuli,Syllables,Phoneme Onset,sub-020,5.0044618469027514e-05
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-003,0.0006995463854228385
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-005,0.0013645232889629704
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-007,0.002758088168751625
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-008,0.001552501173480078
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-009,0.0014063881173445856
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-010,0.0018826234043260535
