Condition,Feature,subject,accuracy
random_word_list,Acoustic Edge,sub-006,0.000659174754026847
random_word_list,Acoustic Edge,sub-008,0.0014261763225915857
random_word_list,Acoustic Edge,sub-009,0.0013064927492685932
random_word_list,Acoustic Edge,sub-010,0.0008423593294649831
random_word_list,Acoustic Edge,sub-011,0.0001446439868190598
random_word_list,Acoustic Edge,sub-012,0.0006856807052823037
random_word_list,Acoustic Edge,sub-013,0.00045005859994472246
random_word_list,Acoustic Edge,sub-015,0.0003545710257335296
random_word_list,Acoustic Edge,sub-016,-7.280383857600996e-05
random_word_list,Acoustic Edge,sub-017,0.0011883308613131272
random_word_list,Acoustic Edge,sub-018,0.0013159515932723617
random_word_list,Acoustic Edge,sub-019,0.0002301747765163166
random_word_list,Acoustic Edge,sub-020,0.00032603741381487754
random_word_list,Acoustic Edge,sub-021,0.000838404692445621
random_word_list,Acoustic Edge,sub-022,0.0008837507358178105
random_word_list,Acoustic Edge,sub-023,0.00023151666766887431
random_word_list,Acoustic Edge,sub-024,7.098972034002383e-05
random_word_list,Acoustic Edge,sub-025,0.0004584325081005788
random_word_list,Acoustic Edge,sub-026,0.001954395233018407
random_word_list,Acoustic Edge,sub-027,0.0008013278787273757
random_word_list,Acoustic Edge,sub-028,0.0006097196160311687
random_word_list,Acoustic Edge,sub-030,0.00023640347498168568
random_word_list,Acoustic Edge,sub-031,-4.632143876162346e-06
random_word_list,Acoustic Edge,sub-032,0.0003707075763048239
random_word_list,Acoustic Edge,sub-033,0.00044627159647861654
random_word_list,Acoustic Edge,sub-034,0.0008900584437541805
random_word_list,Acoustic Edge,sub-035,0.0007567123183280283
random_word_list,Acoustic Edge,sub-036,0.00037019360626914757
random_word_list,Acoustic Edge,sub-037,0.0013419927947996737
random_word_list,Acoustic Edge,sub-038,0.0011849174509166345
random_syllables,Acoustic Edge,sub-006,0.0007335176667604156
random_syllables,Acoustic Edge,sub-008,0.0006063696308468285
random_syllables,Acoustic Edge,sub-009,0.001439750287041703
random_syllables,Acoustic Edge,sub-010,0.0007572075391755004
random_syllables,Acoustic Edge,sub-011,0.0001294136950295259
random_syllables,Acoustic Edge,sub-012,0.0005179506912766451
random_syllables,Acoustic Edge,sub-013,0.0007565058171420842
random_syllables,Acoustic Edge,sub-015,0.0001638044831653236
random_syllables,Acoustic Edge,sub-016,-0.0002809477736700376
random_syllables,Acoustic Edge,sub-017,0.0009149060189414151
random_syllables,Acoustic Edge,sub-018,0.00046719416034906973
random_syllables,Acoustic Edge,sub-019,2.038963120853414e-05
random_syllables,Acoustic Edge,sub-020,0.0003055319192622545
random_syllables,Acoustic Edge,sub-021,0.0008715495298478197
random_syllables,Acoustic Edge,sub-022,0.00046188202171300053
random_syllables,Acoustic Edge,sub-023,0.00014389394012670148
random_syllables,Acoustic Edge,sub-024,0.000233763637153561
random_syllables,Acoustic Edge,sub-025,0.00043898940609659974
random_syllables,Acoustic Edge,sub-026,0.0020464680601667753
random_syllables,Acoustic Edge,sub-027,0.0007506520273128975
random_syllables,Acoustic Edge,sub-028,0.0006566524314769199
random_syllables,Acoustic Edge,sub-030,0.0007711485403074387
random_syllables,Acoustic Edge,sub-031,-0.00017938756868229563
random_syllables,Acoustic Edge,sub-032,0.0002768145368690456
random_syllables,Acoustic Edge,sub-033,0.0005241505796598399
random_syllables,Acoustic Edge,sub-034,0.000974716742306078
