condition,feature,subject,accuracy
random_word_list,Phoneme Onset,sub-006,0.016568218469413958
random_word_list,Phoneme Onset,sub-008,0.01748980363895089
random_word_list,Phoneme Onset,sub-009,0.018901834743346335
random_word_list,Phoneme Onset,sub-010,0.012865863903366241
random_word_list,Phoneme Onset,sub-011,0.006100019798826403
random_word_list,Phoneme Onset,sub-012,0.008892880294480805
random_word_list,Phoneme Onset,sub-013,0.010672167151289436
random_word_list,Phoneme Onset,sub-015,0.003586468584491366
random_word_list,Phoneme Onset,sub-016,0.0006661382537283882
random_word_list,Phoneme Onset,sub-017,0.020321399794126088
random_word_list,Phoneme Onset,sub-018,0.023063015181122082
random_word_list,Phoneme Onset,sub-019,0.0024636353108290062
random_word_list,Phoneme Onset,sub-020,0.009702987949990678
random_word_list,Phoneme Onset,sub-021,0.014167287971224997
random_word_list,Phoneme Onset,sub-022,0.01077684353272761
random_word_list,Phoneme Onset,sub-023,0.007030863134631376
random_word_list,Phoneme Onset,sub-024,0.0004641490569532768
random_word_list,Phoneme Onset,sub-025,0.00498526997732074
random_word_list,Phoneme Onset,sub-026,0.011471617273331312
random_word_list,Phoneme Onset,sub-027,0.011320227817568812
random_word_list,Phoneme Onset,sub-028,0.010065548450871827
random_word_list,Phoneme Onset,sub-030,0.013266331343808762
random_word_list,Phoneme Onset,sub-031,0.001785476001323335
random_word_list,Phoneme Onset,sub-032,0.007941349348004483
random_word_list,Phoneme Onset,sub-033,0.0063658751478824
random_word_list,Phoneme Onset,sub-034,0.011393132078064373
random_word_list,Phoneme Onset,sub-035,0.0077539659667011695
random_word_list,Phoneme Onset,sub-036,0.007687633599819643
random_word_list,Phoneme Onset,sub-037,0.02265173286463417
random_word_list,Phoneme Onset,sub-038,0.013329015966896847
random_syllables,Phoneme Onset,sub-006,0.016482026718595
random_syllables,Phoneme Onset,sub-008,0.01807107820527447
random_syllables,Phoneme Onset,sub-009,0.023602768261331255
random_syllables,Phoneme Onset,sub-010,0.013877900768152757
random_syllables,Phoneme Onset,sub-011,0.004637331112987355
random_syllables,Phoneme Onset,sub-012,0.010376543608390245
random_syllables,Phoneme Onset,sub-013,0.009919772502886112
random_syllables,Phoneme Onset,sub-015,0.002957877056561196
random_syllables,Phoneme Onset,sub-016,-0.0007215075736452668
random_syllables,Phoneme Onset,sub-017,0.016198782258811197
random_syllables,Phoneme Onset,sub-018,0.012508813481598751
random_syllables,Phoneme Onset,sub-019,0.001441476370877009
random_syllables,Phoneme Onset,sub-020,0.010318886003116166
random_syllables,Phoneme Onset,sub-021,0.012320906816112424
random_syllables,Phoneme Onset,sub-022,0.008657355219316605
random_syllables,Phoneme Onset,sub-023,0.0034861359142872896
random_syllables,Phoneme Onset,sub-024,0.0012000822175788387
random_syllables,Phoneme Onset,sub-025,0.005147428077057356
random_syllables,Phoneme Onset,sub-026,0.013359690795172286
random_syllables,Phoneme Onset,sub-027,0.010196465124924961
random_syllables,Phoneme Onset,sub-028,0.008630244569942009
random_syllables,Phoneme Onset,sub-030,0.015099218310471053
random_syllables,Phoneme Onset,sub-031,0.0012747057103315127
random_syllables,Phoneme Onset,sub-032,0.004086621941121647
random_syllables,Phoneme Onset,sub-033,0.006645911963362497
random_syllables,Phoneme Onset,sub-034,0.01189015529072835
random_syllables,Phoneme Onset,sub-035,0.005678534467037197
random_syllables,Phoneme Onset,sub-036,0.005510625421166272
random_syllables,Phoneme Onset,sub-037,0.014496678713088872
random_syllables,Phoneme Onset,sub-038,0.01448858498300214
random_word_list,Phoneme Surprisal/Entropy,sub-006,0.016568218469413958
random_word_list,Phoneme Surprisal/Entropy,sub-008,0.01748980363895089
random_word_list,Phoneme Surprisal/Entropy,sub-009,0.018901834743346335
random_word_list,Phoneme Surprisal/Entropy,sub-010,0.012865863903366241
random_word_list,Phoneme Surprisal/Entropy,sub-011,0.006100019798826403
random_word_list,Phoneme Surprisal/Entropy,sub-012,0.008892880294480805
random_word_list,Phoneme Surprisal/Entropy,sub-013,0.010672167151289436
random_word_list,Phoneme Surprisal/Entropy,sub-015,0.003586468584491366
random_word_list,Phoneme Surprisal/Entropy,sub-016,0.0006661382537283882
random_word_list,Phoneme Surprisal/Entropy,sub-017,0.020321399794126088
random_word_list,Phoneme Surprisal/Entropy,sub-018,0.023063015181122082
random_word_list,Phoneme Surprisal/Entropy,sub-019,0.0024636353108290062
random_word_list,Phoneme Surprisal/Entropy,sub-020,0.009702987949990678
random_word_list,Phoneme Surprisal/Entropy,sub-021,0.014167287971224997
random_word_list,Phoneme Surprisal/Entropy,sub-022,0.01077684353272761
random_word_list,Phoneme Surprisal/Entropy,sub-023,0.007030863134631376
random_word_list,Phoneme Surprisal/Entropy,sub-024,0.0004641490569532768
random_word_list,Phoneme Surprisal/Entropy,sub-025,0.00498526997732074
random_word_list,Phoneme Surprisal/Entropy,sub-026,0.011471617273331312
random_word_list,Phoneme Surprisal/Entropy,sub-027,0.011320227817568812
random_word_list,Phoneme Surprisal/Entropy,sub-028,0.010065548450871827
random_word_list,Phoneme Surprisal/Entropy,sub-030,0.013266331343808762
random_word_list,Phoneme Surprisal/Entropy,sub-031,0.001785476001323335
random_word_list,Phoneme Surprisal/Entropy,sub-032,0.007941349348004483
random_word_list,Phoneme Surprisal/Entropy,sub-033,0.0063658751478824
random_word_list,Phoneme Surprisal/Entropy,sub-034,0.011393132078064373
random_word_list,Phoneme Surprisal/Entropy,sub-035,0.0077539659667011695
random_word_list,Phoneme Surprisal/Entropy,sub-036,0.007687633599819643
random_word_list,Phoneme Surprisal/Entropy,sub-037,0.02265173286463417
random_word_list,Phoneme Surprisal/Entropy,sub-038,0.013329015966896847
random_syllables,Phoneme Surprisal/Entropy,sub-006,0.016482026718595
random_syllables,Phoneme Surprisal/Entropy,sub-008,0.01807107820527447
random_syllables,Phoneme Surprisal/Entropy,sub-009,0.023602768261331255
random_syllables,Phoneme Surprisal/Entropy,sub-010,0.013877900768152757
random_syllables,Phoneme Surprisal/Entropy,sub-011,0.004637331112987355
random_syllables,Phoneme Surprisal/Entropy,sub-012,0.010376543608390245
random_syllables,Phoneme Surprisal/Entropy,sub-013,0.009919772502886112
random_syllables,Phoneme Surprisal/Entropy,sub-015,0.002957877056561196
random_syllables,Phoneme Surprisal/Entropy,sub-016,-0.0007215075736452668
random_syllables,Phoneme Surprisal/Entropy,sub-017,0.016198782258811197
random_syllables,Phoneme Surprisal/Entropy,sub-018,0.012508813481598751
random_syllables,Phoneme Surprisal/Entropy,sub-019,0.001441476370877009
random_syllables,Phoneme Surprisal/Entropy,sub-020,0.010318886003116166
random_syllables,Phoneme Surprisal/Entropy,sub-021,0.012320906816112424
random_syllables,Phoneme Surprisal/Entropy,sub-022,0.008657355219316605
random_syllables,Phoneme Surprisal/Entropy,sub-023,0.0034861359142872896
random_syllables,Phoneme Surprisal/Entropy,sub-024,0.0012000822175788387
random_syllables,Phoneme Surprisal/Entropy,sub-025,0.005147428077057356
random_syllables,Phoneme Surprisal/Entropy,sub-026,0.013359690795172286
random_syllables,Phoneme Surprisal/Entropy,sub-027,0.010196465124924961
random_syllables,Phoneme Surprisal/Entropy,sub-028,0.008630244569942009
random_syllables,Phoneme Surprisal/Entropy,sub-030,0.015099218310471053
random_syllables,Phoneme Surprisal/Entropy,sub-031,0.0012747057103315127
random_syllables,Phoneme Surprisal/Entropy,sub-032,0.004086621941121647
random_syllables,Phoneme Surprisal/Entropy,sub-033,0.006645911963362497
random_syllables,Phoneme Surprisal/Entropy,sub-034,0.01189015529072835
random_syllables,Phoneme Surprisal/Entropy,sub-035,0.005678534467037197
random_syllables,Phoneme Surprisal/Entropy,sub-036,0.005510625421166272
random_syllables,Phoneme Surprisal/Entropy,sub-037,0.014496678713088872
random_syllables,Phoneme Surprisal/Entropy,sub-038,0.01448858498300214
